fasta_entry	superfamily
Academ-3_HM	Academ
Academ-2_BF	Academ
Academ-4_SP	Academ
Academ-2_HM	Academ
Academ-1_AP	Academ
Academ-1_CapTel	Academ
Academ-1_CSa	Academ
Academ-1_Dpulex	Academ
Academ-1_Lgigantea	Academ
Academ-3_CS	Academ
Academ-1_Aplcal	Academ
Academ-1_NV	Academ
Academ-4_BF	Academ
Academ-1_BF	Academ
Academ-2_CS	Academ
Academ-1_SP	Academ
CACTA-1_PB	CMC
SmTRC1	CMC
ENSPM-6_DR	CMC
EnSpm-7_HM	CMC
EnSpm-2_NVi	CMC
EnSpm-3_DR	CMC
EnSpm-16_HM	CMC
CACTA-3_AA	CMC
CACTA-2_AA	CMC
EnSpm-5_DR	CMC
CACTA-1_Dpulex	CMC
CACTA-1_Ccinerea	CMC
EnSpm-1_BF	CMC
CACTA-1_Roryzae	CMC
CACTA-1_Mlaricis	CMC
CACTA-2_Mlaricis	CMC
ATENSPM10	CMC
MIRAGE1_CB	CMC
MIRAGE1	CMC
Chapaev-1_CE	CMC
Chapaev3-5_PM	CMC
Chapaev-1_AA	CMC
Chapaev-1_ACa	CMC
Chapaev-2_BF	CMC
Chapaev-6_HM	CMC
Chapaev-9_HM	CMC
Chapaev-1_HM	CMC
Ginger1-12_HM	Ginger
Ginger1-1_AC	Ginger
Ginger1-1_AP	Ginger
Ginger1-1_HM	Ginger
Ginger1-8_HM	Ginger
Ginger1-1_BF	Ginger
TDD-4	Ginger
Ginger2-1_NV	Ginger
Ginger2-2_NV	Ginger
Ginger2-1_MG	Ginger
Ginger2-1_HM	Ginger
Ginger2-1_LS	Ginger
Ginger2-1_BF	Ginger
Ginger2-1_TS	Ginger
hATw-1_CCo	hAT
hATw-1_LB	hAT
hATw-1_HM	hAT
hATw-4_BF	hAT
hATw-2_SP	hAT
hATw-5_BF	hAT
hATw-1_BF	hAT
hATw-3_BF	hAT
hAT-1_TV	hAT
hAT-2_TV	hAT
Hopers3	hAT
hATx-4_HM	hAT
hATx-1_SM	hAT
*hATx-5_SM	hAT
hAT-1_AA	hAT
hATx-3_SM	hAT
hATx-5_HM	hAT
hAT-9_SBi	hAT
Tag1	hAT
hAT-2_HM	hAT
hAT-44_HM	hAT
hAT-1_HM	hAT
hAT-2_SD	hAT
hAT-17_ZM	hAT
hAT-13_SBi	hAT
TAG2	hAT
ATHAT7	hAT
HAT2_MT	hAT
TAM3	hAT
ATHAT10	hAT
ZhAT3_ZM	hAT
*CHAPKA1_EM	hAT
hAT-79_HM	hAT
Hobo	hAT
Hoana3	hAT
hAT-26_HM	hAT
hAT-37_HM	hAT
hAT-28_HM	hAT
hAT-27_HM	hAT
hAT-30_HM	hAT
hAT-9_XT	hAT
hAT-66_HM	hAT
hAT-11_HM	hAT
Homo7	hAT
hAT-14_HM	hAT
HAT1_AG	hAT
HAT1_DR	hAT
hAT-1_DP	hAT
hAT-52_HM	hAT
hAT-1_SP	hAT
hAT-2_BF	hAT
hAT-4_DR	hAT
hAT-13_HM	hAT
hAT1-1_NV	hAT
hAT-28_SM	hAT
hAT-76_HM	hAT
hAT-35_HM	hAT
hAT-45_HM	hAT
hAT-74_HM	hAT
hAT6-1_SP	hAT
hAT6-1_NV	hAT
hAT-29_HM	hAT
hAT-25_HM	hAT
hAT-4_BF	hAT
hAT-3_BF	hAT
hAT-82_HMa	hAT
hAT-40_HM	hAT
hAT-39_HM	hAT
*TIP100	hAT
hAT-22_SM	hAT
hAT-37_SM	hAT
*hAT-7_HM	hAT
hAT-20_SM	hAT
hAT-34_HM	hAT
hAT-23_HM	hAT
hAT-41_HM	hAT
hAT-22_HM	hAT
SPIN_Og	hAT
*hAT-14_SM	hAT
hAT-2_XT	hAT
hAT-2_SM	hAT
hAT-5_DR	hAT
hAT-42_SM	hAT
*hAT-12_SM	hAT
*hAT-19_HM	hAT
hAT-5_SM	hAT
hAT-11_XT	hAT
hAT-3_DR	hAT
hAT-18_HM	hAT
hAT-20_HM	hAT
hAT-36_SM	hAT
Gulliver	hAT
hAT-31_HM	hAT
*hAT5-3_NV	hAT
hAT-30_SM	hAT
hATm-4_HM	hAT
hATm-39_HM	hAT
hATm-1_HM	hAT
hATm-57_HM	hAT
hATm-38_HM	hAT
hATm-29_HM	hAT
hAT-9_SM	hAT
hATm-1_AA	hAT
hATm-3_AA	hAT
hATm-2_AA	hAT
hATm-35_HM	hAT
hATm-4_HR	hAT
*hATm-2_HR	hAT
hAT-4D_AP	hAT
hATm-20_HM	hAT
hATm-3_HR	hAT
*hATm-1_CS	hAT
*hATm-1_SM	hAT
hATm-55_HM	hAT
hATm-45_HM	hAT
hATm-47_HM	hAT
hATm-21_HM	hAT
hATx-7_HM	hAT
hATm-7_HM	hAT
Kolobok-4_TV	Kolobok
Kolobok-1_MicRcc299	Kolobok
Kolobok-1_FraCyl	Kolobok
